!	 	 	Ambt_to_Room1	Ambt_to_Room4	Corridor_to_Room1	Corridor_to_Room4	Ambt_to_Room2	Ambt_to_Room5	Corridor_to_Room2	Corridor_to_Room5	Corridor_to_Room3	Corridor_to_Room6	Ambt_to_Room3	Ambt_to_Room6
!Date	Time	[s]	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h
9/29	09:00:00	32400	5.385548e-01	7.234925e-01	5.091373e-02	-1.404324e-01	-3.790096e-01	-1.801889e-01	1.422952e-01	-5.004434e-02	1.772527e-01	4.651985e-03	-5.300087e-01	-3.574789e-01
9/29	09:01:00	32460	5.820240e-01	8.045906e-01	7.291859e-02	-1.605422e-01	-4.208584e-01	-1.797958e-01	1.637965e-01	-6.930381e-02	1.994195e-01	-8.077553e-03	-5.973002e-01	-3.868712e-01
9/29	09:02:00	32520	6.236314e-01	8.896815e-01	9.914730e-02	-1.803453e-01	-4.638586e-01	-1.757563e-01	1.854653e-01	-9.232830e-02	2.228214e-01	-2.392396e-02	-6.672067e-01	-4.173277e-01
9/29	09:03:00	32580	6.639326e-01	9.798623e-01	1.305887e-01	-2.017306e-01	-5.090668e-01	-1.671266e-01	2.089737e-01	-1.197253e-01	2.480846e-01	-4.356536e-02	-7.425128e-01	-4.477144e-01
9/29	09:04:00	32640	7.031780e-01	1.075064e+00	1.627019e-01	-2.249680e-01	-5.563339e-01	-1.537477e-01	2.364609e-01	-1.500628e-01	2.770262e-01	-6.777471e-02	-8.230389e-01	-4.785111e-01
9/29	09:05:00	32700	7.415499e-01	1.175171e+00	1.945036e-01	-2.521031e-01	-6.055164e-01	-1.355480e-01	2.681229e-01	-1.764317e-01	3.098529e-01	-1.008453e-01	-9.085135e-01	-5.102423e-01
9/29	09:06:00	32760	7.783534e-01	1.280410e+00	2.296289e-01	-2.814676e-01	-6.569257e-01	-1.121488e-01	3.030871e-01	-2.050016e-01	3.459241e-01	-1.406820e-01	-1.000069e+00	-5.411103e-01
9/29	09:07:00	32820	8.117415e-01	1.385614e+00	2.703544e-01	-3.173803e-01	-7.115310e-01	-8.727217e-02	3.434090e-01	-2.415186e-01	3.872717e-01	-1.804180e-01	-1.101246e+00	-5.590248e-01
9/29	09:08:00	32880	8.427980e-01	1.494431e+00	3.141652e-01	-3.568683e-01	-7.686974e-01	-5.807653e-02	3.868679e-01	-2.816904e-01	4.316629e-01	-2.217664e-01	-1.206797e+00	-5.760281e-01
9/29	09:09:00	32940	8.692815e-01	1.604952e+00	3.588504e-01	-3.978798e-01	-8.296348e-01	-2.581923e-02	4.312066e-01	-3.231696e-01	4.765559e-01	-2.638414e-01	-1.306260e+00	-5.942413e-01
9/29	09:10:00	33000	8.932828e-01	1.719150e+00	4.067723e-01	-4.423956e-01	-8.931140e-01	1.130408e-02	4.787956e-01	-3.682075e-01	5.246633e-01	-3.093424e-01	-1.410400e+00	-6.105081e-01
